using cuda device
current class:obj1
loss:0.218905  heatmap_loss:0.187360  contour_loss:0.031545
loss:0.265185  heatmap_loss:0.233371  contour_loss:0.031814
loss:0.226476  heatmap_loss:0.190926  contour_loss:0.035549
loss:0.219599  heatmap_loss:0.163289  contour_loss:0.056310
loss:0.161963  heatmap_loss:0.136606  contour_loss:0.025358
loss:0.095357  heatmap_loss:0.080507  contour_loss:0.014849
loss:0.194555  heatmap_loss:0.164383  contour_loss:0.030172
loss:0.175507  heatmap_loss:0.154266  contour_loss:0.021241
loss:0.206511  heatmap_loss:0.175863  contour_loss:0.030648
loss:0.148593  heatmap_loss:0.120811  contour_loss:0.027783
loss:0.241011  heatmap_loss:0.199169  contour_loss:0.041842
loss:0.170533  heatmap_loss:0.144809  contour_loss:0.025724
loss:0.162668  heatmap_loss:0.146163  contour_loss:0.016504
loss:0.194059  heatmap_loss:0.171483  contour_loss:0.022576
loss:0.230159  heatmap_loss:0.204345  contour_loss:0.025814
loss:0.322969  heatmap_loss:0.292770  contour_loss:0.030199
loss:0.141962  heatmap_loss:0.117565  contour_loss:0.024397
loss:1.472908  heatmap_loss:1.443014  contour_loss:0.029894
loss:0.271783  heatmap_loss:0.240768  contour_loss:0.031015
loss:0.113257  heatmap_loss:0.096455  contour_loss:0.016802
loss:0.271508  heatmap_loss:0.242517  contour_loss:0.028991
loss:0.221609  heatmap_loss:0.179911  contour_loss:0.041699
loss:0.247218  heatmap_loss:0.213346  contour_loss:0.033873
loss:0.923320  heatmap_loss:0.875701  contour_loss:0.047619
loss:0.232741  heatmap_loss:0.203216  contour_loss:0.029524
loss:0.179971  heatmap_loss:0.163029  contour_loss:0.016942
loss:0.603012  heatmap_loss:0.567036  contour_loss:0.035976
loss:0.699072  heatmap_loss:0.675921  contour_loss:0.023152
loss:0.950483  heatmap_loss:0.926240  contour_loss:0.024243
loss:1.183307  heatmap_loss:1.145945  contour_loss:0.037362
loss:0.413031  heatmap_loss:0.393772  contour_loss:0.019260
loss:0.447871  heatmap_loss:0.428709  contour_loss:0.019162
